station_id,name,lat,lon,altitude,address,post_code,capacity
128,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",41.4158412,2.1959771,10.0,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",8020,43
129,"C/ MANSO, 46",41.377046,2.16113608,13.0,"C/ MANSO, 46",8015,23
130,"RAMBLA DE GUIPÚSCOA, 103 / CANTÀBRIA",41.4200135,2.2016699,8.0,"RAMBLA DE GUIPÚSCOA, 103 /CANTÀBRIA",8020,24
131,"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",41.4227912,2.2060317,11.0,"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",8020,29
132,PL. VALENTÍ ALMIRALL,41.4084796,2.192042,6.0,PL.VALENTÍ ALMIRALL,8018,27
133,"GRAN VIA DE LES CORTS CATALANES,  902",41.4075013,2.1930174,6.0,"GRAN VIA DE LES CORTS CATALANES, 902",8018,16
134,"C/ BAC DE RODA, 157",41.4113024,2.1987258,6.0,"C/ BAC DE RODA, 157",8018,21
135,"GRAN VIA DE LES CORTS CATALANES,  981",41.4120452,2.1972673,8.0,"GRAN VIA DE LES CORTS CATALANES,  981",8018,21
136,"GRAN VIA DE LES CORTS CATALANES,  1062",41.4139298,2.2017955,8.0,"GRAN VIA DE LES CORTS CATALANES,  1062",8020,31
137,"GRAN VIA DE LES CORTS CATALANES , 1041",41.4145805,2.2008139,7.0,"GRAN VIA DE LES CORTS CATALANES, 1041",8020,25
138,"GRAN VIA DE LES CORTS CATALANES,  1118",41.4167933,2.2058345,7.0,"GRAN VIA DE LES CORTS CATALANES, 1118",8020,20
139,"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,7.0,"GRAN VIA DE LES CORTS CATALANES,  1131",8020,35
140,"C/ VILADOMAT,  122",41.3808772,2.1559939,19.0,"C/ VILADOMAT, 122",8015,27
141,"C/ BILBAO, 174",41.4090202,2.1954152,7.0,"C/ BILBAO, 174",8018,32
142,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,4.0,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",8018,40
143,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",41.4027907,2.1956161,4.0,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",8018,27
144,"Westfield Glòries-C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,4.0,"Westfield Glòries- C/ CASTELLA,  28 / DIAGONAL",8018,27
145,"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,4.0,"C/ PERE IV,  301 / FLUVIÀ",8020,27
146,"C/ PERE IV, 488",41.4148983,2.207186,4.0,"C/ PERE IV, 488",8019,24
147,"RAMBLA PRIM, 79",41.416043,2.2124993,5.0,"RAMBLA PRIM, 79",8019,33
148,"RONDA SANT PAU, 79",41.3783467,2.1633139,12.0,"RONDA SANT PAU, 79",8015,27
149,"C/ PUJADES, 57B",41.3958685,2.192952,4.0,"C/ PUJADES, 57B",8019,27
150,"C/ ESPRONCEDA, 124",41.4065912,2.203028,4.0,"C/ ESPRONCEDA, 124",8005,27
151,"C/ PALLARS, 182",41.4003471,2.1969105,3.0,"C/ PALLARS, 182",8005,31
152,"C/ PUJADES, 121",41.3993329,2.1974184,3.0,"C/ PUJADES, 121",8005,31
153,"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,3.0,"C/ PUJADES, 173/RBLA POBLE NOU",8005,23
154,"C/ PUJADES, 191",41.4026275,2.2017694,2.0,"C/ PUJADES, 191",8005,32
155,"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,4.0,"C/ PUJADES, 311/ FLUVIÀ",8019,32
156,"C/ SELVA DE MAR, 46",41.4091355,2.2088179,4.0,"C/ SELVA DE MAR, 46",8019,27
157,"C/ LLULL, 465",41.4132316,2.2177652,4.0,"C/ LLULL, 465",8019,33
158,"RAMBLA DE PRIM, 19",41.4116634,2.2183313,4.0,"RAMBLA DE PRIM, 19",8019,31
159,"AV. DIAGONAL, 26",41.4110822,2.2163136,4.0,"AV. DIAGONAL, 26",8019,36
160,"AV. D'EDUARD MARISTANY, 1 /FORUM",41.4109763,2.2193724,4.0,"AV. D'EDUARD MARISTANY, 1 /FORUM",8019,33
161,"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,4.0,"C/ RAMON TURRÓ, 91",8005,27
162,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,3.0,"C/ RAMON TURRÓ, 292",8005,27
163,"AV. ICÀRIA, 202",41.3942108,2.2008756,3.0,"AV. ICÀRIA, 202",8005,27
164,"C/ INDEPENDÈNCIA, 379",41.4118378,2.1778852,46.0,"C/ INDEPENDÈNCIA, 379",8026,27
165,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,3.0,"C/ DEL DOCTOR TRUETA, 222",8005,27
166,"C/ BILBAO, 2",41.4008312,2.206645,3.0,"C/ BILBAO, 2",8005,27
167,"C/ BAC DE RODA, 11",41.4023354,2.2105777,3.0,"C/ BAC DE RODA, 11",8005,21
168,SELVA DE MAR / PG. DEL TAULAT,41.4053697,2.2135818,5.0,SELVA DE MAR / PG. DEL TAULAT,8019,27
170,"AV. LITORAL, 40 (D)",41.3896642,2.1999572,6.0,"AV. LITORAL, 40 (D)",8005,54
171,"AV. LITORAL, 172",41.3919877,2.2037136,5.0,"AV. LITORAL, 172",8005,54
173,"AV.LITORAL, 84",41.3979002,2.2088454,8.0,"AV.LITORAL, 84",8005,27
174,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",41.400654,2.210191,6.0,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",8005,27
175,"C/ LLULL, 309",41.4065291,2.2091221,4.0,"C/ LLULL, 309",8019,27
176,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",41.403216,2.2136,6.0,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",8019,31
177,"C/ ROSSELLÓ, 557",41.4110754,2.1809764,33.0,"C/ ROSSELLÓ, 557",8026,38
178,"PG. DE GARCIA FÀRIA, 85",41.4053649,2.2162094,7.0,"PG. DE GARCIA FÀRIA, 85",8019,27
179,"PG. ZONA FRANCA, 244",41.36352,2.1369015,9.0,"PG. ZONA FRANCA, 244",8038,16
180,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,14.0,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",8014,51
182,"C/ SANT PERE D´ABANTO, 2",41.371366,2.143565,18.0,"C/ SANT PERE D´ABANTO, 2",8014,33
183,"C/ GAVÀ, 1",41.3723682,2.1419494,18.0,"C/ GAVÀ, 1",8014,30
184,"C/ QUETZAL, 22-24",41.3675438,2.1342316,22.0,"C/ QUETZAL, 22-24",8014,27
185,"C/GAVÀ, 81",41.3703717,2.1389439,20.0,"C/GAVÀ, 81",8014,17
186,"C/CONSELL DE CENT, 6",41.3755503,2.1439036,27.0,"C/CONSELL DE CENT, 6",8014,26
187,"C/ DE SANT PAU, 89 - 97",41.3768806,2.1698206,5.0,"C/ DE SANT PAU, 89 - 97",8001,19
189,"C/ BRUC, 130",41.3969839,2.1661852,34.0,"C/ BRUC, 130",8037,28
190,"AV. LITORAL, 72",41.3961412,2.2078439,6.0,"AV. LITORAL, 72",8005,29
191,"C/ ENTENÇA, 137",41.381951,2.147474,15.0,"C/ ENTENÇA, 137",8015,37
192,"C/ JOAN GÜELL, 50",41.3786364,2.1335494,33.0,"C/ JOAN GÜELL, 50",8028,21
193,"C/ FÍGOLS, 1",41.3812979,2.1289917,41.0,"C/ FÍGOLS, 1",8028,27
194,"C/ JOAN GÜELL, 98",41.3812001,2.1323612,38.0,"C/ JOAN GÜELL, 98",8028,24
195,"C/ VALLESPIR, 130",41.3821371,2.1354149,38.0,"C/ VALLESPIR, 130",8014,27
196,"C/ BERLÍN, 38",41.3832609,2.1392662,38.0,"C/ BERLÍN, 38",8029,27
197,"C/ GELABERT, 1",41.3871579,2.1410945,47.0,"C/ GELABERT, 1",8029,27
198,"C/ VALLESPIR, 194",41.3847113,2.1334379,48.0,"C/ VALLESPIR, 194",8014,27
199,"C/ MEJÍA LEQUERICA, 2",41.3819739,2.1268625,47.0,"C/ MEJÍA LEQUERICA, 2",8028,27
200,"C/ JOAN GÜELL, 174",41.3839045,2.1312876,47.0,"C/ JOAN GÜELL, 174",8028,23
201,"C/ NUMÀNCIA, 136",41.3878061,2.1344218,55.0,"C/ NUMÀNCIA, 136",8029,24
202,"C/ DE LES CORTS, 20",41.3854466,2.1288753,52.0,"C/ DE LES CORTS, 20",8028,27
203,"AV. DIAGONAL, 668",41.3887069,2.1285766,64.0,"AV. DIAGONAL, 668",8034,33
204,"AV. DIAGONAL, 672",41.3880355,2.1256248,63.0,"AV. DIAGONAL, 672",8034,33
205,"C/ EUROPA, 25",41.387561,2.1306737,57.0,"C/ EUROPA, 25",8028,33
206,"UAB - AV. DIAGONAL, 650",41.3897943,2.1328634,62.0,"UAB - AV. DIAGONAL, 650",8017,33
207,"AV. DIAGONAL, 634",41.3908477,2.136579,62.0,"AV. DIAGONAL, 634",8017,25
208,"AV. DIAGONAL, 630",41.3915195,2.1390667,59.0,"AV. DIAGONAL, 630",8017,33
209,"C/ DIPUTACIÓ, 200",41.3857425,2.1610515,23.0,"C/ DIPUTACIÓ, 200",8011,26
210,"C/ VILARDELL, 18",41.3745238,2.1422556,22.0,"C/ VILARDELL, 18",8014,31
211,"C/ SANCHO DE ÁVILA, 60-64",41.3987543,2.1902116,5.0,"C/ SANCHO DE ÁVILA, 60-64",8018,28
212,"AV. SARRIÀ, 163",41.3922355,2.1309272,75.0,"AV. SARRIÀ, 163",8017,24
213,"C/ SANTA FE DE NOU MÈXIC, 2",41.3935816,2.1345892,70.0,"C/ SANTA FE DE NOU MÈXIC, 2",8017,33
214,"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,72.0,"C/ JOSÉ DE  AGULLÓ, 9",8017,25
